PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
353,Darrell,Armstrong,Orlando Magic,NBA Most Improved Player,,1998-99,,,,Award,Kia Motors,KIMIP,
353,Darrell,Armstrong,Orlando Magic,NBA Player of the Week,,1998-99,,1999-03-28T00:00:00,,Award,Kia Motors,KIPWK,
353,Darrell,Armstrong,Orlando Magic,NBA Player of the Week,,2000-01,,2001-02-04T00:00:00,,Award,Kia Motors,KIPWK,
353,Darrell,Armstrong,Orlando Magic,NBA Sixth Man of the Year,,1998-99,,,,Award,Kia Motors,KISMY,
239,,,,,,,,,,,,,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1989-90,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1990-91,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1991-92,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1992-93,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1993-94,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1994-95,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,1,1995-96,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1997-98,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1989-90,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1990-91,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1991-92,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1992-93,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,2,1993-94,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1994-95,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,1,1995-96,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,2,1997-98,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1999-00,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-NBA,3,2000-01,,,1610612759,Award,Kia Motors,KIANT,
764,David,Robinson,San Antonio Spurs,All-Rookie Team,1,1989-90,,,1610612759,Award,Kia Motors,KIART,
764,David,Robinson,,Hall of Fame Inductee,,2009,,,,Award,Hall of Fame,,
764,David,Robinson,San Antonio Spurs,IBM Award,,1989-90,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,IBM Award,,1990-91,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,IBM Award,,1993-94,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,IBM Award,,1994-95,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,IBM Award,,1995-96,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,J. Walter Kennedy Citizenship,,2002-03,,,,Award,Kia Motors,KIWKC,
764,David,Robinson,,NBA All-Star,,1989-90,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1990-91,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1991-92,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1992-93,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1993-94,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1994-95,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1995-96,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1997-98,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,1999-00,,,,Award,All-Star,,
764,David,Robinson,,NBA All-Star,,2000-01,,,,Award,All-Star,,
764,David,Robinson,San Antonio Spurs,NBA Champion,,1998-99,,,,Award,Champion,,
764,David,Robinson,San Antonio Spurs,NBA Champion,,2002-03,,,,Award,Champion,,
764,David,Robinson,San Antonio Spurs,NBA Defensive Player of the Year,,1991-92,,,,Award,Kia Motors,KDPYR,
764,David,Robinson,San Antonio Spurs,NBA Most Valuable Player,,1994-95,,,,Award,Kia Motors,KIMVP,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1990-91,01/01/1991,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1993-94,02/01/1994,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1994-95,03/01/1995,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1995-96,03/01/1996,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-02-25T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-03-25T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1989-90,,1990-04-22T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1991-92,,1991-12-01T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1992-93,,1992-11-29T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1992-93,,1993-01-03T00:00:00,,Award,Kia Motors,KIPWK,
