PLAYER_NAME,PTS,AST,REB,TOV,STL,BLK,FG3A,FGA,FTA,FG3_PCT
AJ Green,19.9,2.4,5,0.9,0.7,0.3,13.3,15.4,1.5,0.408
AJ Griffin,12.6,1.3,4.7,2.1,0.3,0.5,10.2,16.3,0.5,0.256
AJ Lawson,19.4,2.9,7.1,2,1.4,0.4,7.1,17.3,3.3,0.26
Aaron Gordon,21.6,5.5,10,2.2,1.2,1,2.9,15.2,5.7,0.29
Aaron Holiday,19,5.2,4.5,2,1.6,0.2,8,15.4,2.3,0.387
Aaron Nesmith,20.6,2.5,6.5,1.5,1.5,1.2,7.9,14.9,3.2,0.419
Aaron Wiggins,21.2,3.4,7.3,2.2,2.2,0.7,4.9,14.7,2.8,0.492
Adam Flagler,9.7,12.9,0,0,0,0,19.4,22.6,0,0.167
Adama Sanogo,25,0,25,3.5,0.7,0,0,18.8,8.3,0
Admiral Schofield,14.7,4,9.6,2.8,0.6,0,9,14.7,1.1,0.375
Al Horford,15.7,4.7,11.5,1.3,1.1,1.7,7.2,11.7,0.8,0.419
Alec Burks,27.1,3.5,5.9,1.9,1.1,0.5,13,22.3,6.6,0.376
Aleksej Pokusevski,17.6,4.2,10.7,2.3,1.8,1.6,6.6,14.6,4.9,0.327
Alex Caruso,17,5.9,6.5,2.4,2.8,1.7,7.9,12.8,2.3,0.408
Alex Fudge,17,0,5.7,2.3,3.4,0,5.7,17,2.3,0.2
Alex Len,12.8,5.3,13.6,2.9,1.2,3.5,0.3,8.6,3.6,0
Alondes Williams,13.2,0,2.6,5.3,0,2.6,10.5,21.1,2.6,0
Alperen Sengun,31.4,7.4,13.9,3.8,1.8,1.1,2.6,23.2,8.3,0.297
Amari Bailey,17.4,5.3,6.8,3,2.3,0,6.1,18.2,5.3,0.125
Amen Thompson,20,5.5,13.8,3,2.6,1.3,2,15,5.2,0.138
Amir Coffey,15.1,2.5,4.8,1.1,1.3,0.5,6,11.5,2.3,0.38
Andre Drummond,24,1.3,25.7,2.9,2.6,1.7,0.1,17.4,7.9,0
Andre Jackson Jr.,10.2,4.1,9.3,2.3,1.3,0.5,3.8,8.2,0.9,0.37
Andrew Funk,0,0,0,0,3.4,3.4,10.3,13.8,0,0
Andrew Nembhard,17.4,7.8,3.9,2.8,1.8,0.2,4.8,14.5,1.6,0.357
Andrew Wiggins,23.2,2.9,7.9,2.2,1,1,6.3,19.3,4.7,0.358
Anfernee Simons,32.2,7.9,5.2,3.9,0.7,0.2,12.5,25.9,5.5,0.385
Anthony Black,13,3.8,5.7,2.3,1.4,0.9,3.9,10.2,3.3,0.394
Anthony Davis,32.7,4.6,16.7,2.8,1.6,3.1,1.9,22.3,9,0.271
Anthony Edwards,36.1,7.1,7.6,4.2,1.8,0.7,9.4,27.5,8.9,0.357
Anthony Gill,18.8,3.4,9.3,2.3,1.3,1.1,4.1,15.9,3.6,0.244
Armoni Brooks,19.7,2.3,8.5,1.4,0.5,0.5,15,21.6,0.9,0.344
Ashton Hagans,12.6,8.5,7.1,4.7,1.7,1.4,3.9,11.2,2.7,0.32
Ausar Thompson,16.7,3.6,12.1,2.5,2,1.8,3.4,14.4,3.6,0.186
Austin Reaves,23.3,8.1,6.3,3.1,1.2,0.4,7.5,16.8,4.9,0.367
Ayo Dosunmu,20.4,5.4,4.8,2.3,1.5,0.8,6.5,15.9,2.3,0.403
Bam Adebayo,27.8,5.7,15,3.3,1.7,1.3,0.9,20.7,7.9,0.357
Ben Sheppard,14.3,3,5,0.8,1.9,0.1,8.8,13,1.5,0.314
Ben Simmons,12.1,11.3,15.7,3.6,1.6,1.2,0,9.7,2,0
Bennedict Mathurin,25.7,3.6,7,2.9,1.1,0.4,6.4,19.9,6.7,0.374
Bilal Coulibaly,14.4,3,6.9,2.4,1.5,1.3,5,11.7,3.6,0.346
Bismack Biyombo,10.6,3.2,12.7,2.6,0.7,2.3,0,8,3.3,0
Blake Wesley,14.1,8.8,5,2.9,1.5,0.5,2.9,11.4,4.1,0.218
Boban Marjanovic,28.5,3.8,20.3,3.2,0.6,1.3,1.3,21.5,8.9,0
Bobby Portis,26.9,2.5,14.4,2.2,1.6,0.8,5.9,21.8,2.9,0.407
Bogdan Bogdanovic,26.2,4.9,5.4,2.2,1.9,0.5,12.6,21.6,3.2,0.374
